near_fid;near_dist;utmx_vertice;utmy_vertice;id;localidade;forn_fa;talhao;utmx_point;utmy_point
9121;231,106826;245922,886190;7697134,096100;1003;1717_20;1717;20;245695,593;7697095,378
8702;717,005047;244496,124439;7697308,801630;1004;1717_23;1717;23;245136,550;7696984,100
9121;283,448437;256288,747018;7695561,746430;1005;1719_17;1719;17;256310,834;7695844,200
9121;270,941697;255648,160112;7695532,628850;1006;1719_19;1719;19;255692,853;7695799,785
9121;89,014857;254978,455623;7695736,451950;1007;1719_22;1719;22;254986,631;7695824,901
7748;434,257648;230519,682919;7708286,131690;1008;1720_3;1720;3;230279,543;7708647,471
7676;271,264824;229413,214635;7708810,248250;1009;1720_6;1720;6;229603,280;7708615,557
7964;15,915150;229063,803590;7708552,108130;1010;1720_7;1720;7;229048,569;7708551,827
10214;130,923976;215524,125824;7682313,244700;1011;1724_59;1724;59;215487,236;7682438,461
10002;268,850333;215990,007205;7683128,537120;1012;1724_64;1724;64;216259,447;7683140,075
9220;86,327990;250610,817617;7690116,757790;1013;1725_1;1725;1;250665,301;7690184,035
9283;240,687732;251921,109010;7690320,580890;1014;1725_3;1725;3;251759,625;7690142,332
9402;495,630410;252183,167291;7689097,642270;1015;1725_6;1725;6;251848,979;7689462,990
9380;328,334447;252037,579357;7688427,937780;1016;1725_8;1725;8;251772,318;7688620,406
9402;18,916141;252649,048676;7688107,644330;1017;1725_9;1725;9;252664,644;7688119,019
8463;81,581177;215844,419313;7699434,385470;1018;1726_4;1726;4;215896,023;7699370,299
8483;180,869418;216601,476553;7699434,385470;1019;1727_8;1727;8;216450,797;7699533,302
9154;498,244386;248543,468973;7690582,639180;1020;1728_2;1728;2;248450,135;7690092,872
9241;379,353653;249533,466907;7690029,405040;1021;1728_3;1728;3;249155,011;7690045,475
8541;78,413579;252852,871827;7714517,295130;1022;1729_2;1729;2;252919,443;7714559,587
9270;91,294030;241205,837152;7690728,227110;1023;1730_1;1730;1;241156,203;7690651,727
9239;54,628683;240419,662285;7689965,999840;1024;1730_5;1730;5;240475,003;7689965,719
9371;523,393437;214301,187206;7688544,408190;1025;1731_3;1731;3;214741,855;7688828,191
8839;87,923186;223123,815910;7693790,884930;1026;1732_14;1732;14;223212,476;7693790,604
9331;132,773763;239116,704519;7694309,690240;1027;1733_4;1733;4;239117,393;7694176,577
9331;1,646262;238369,953566;7694193,219890;1028;1734_10;1734;10;238370,642;7694191,292
9331;41,507819;237828,197111;7694134,984720;1029;1734_6;1734;6;237793,179;7694155,905
10127;238,247730;221580,583814;7683099,419530;1030;1735_10;1735;10;221471,545;7683310,764
10127;46,166706;221492,265140;7682837,361250;1031;1735_11;1735;11;221492,954;7682883,273
9933;399,859341;221813,524512;7683710,888840;1032;1735_4;1735;4;222077,407;7684011,929
10127;31,070979;222221,170719;7683303,242630;1033;1735_7;1735;7;222239,387;7683328,638
6503;138,224202;241933,776858;7717487,288950;1034;1737_1;1737;1;242055,121;7717554,567
6742;448,832386;241205,837196;7717720,229640;1035;1737_2;1737;2;241421,128;7718114,370
6382;289,324796;241089,366852;7718768,462750;1036;1737_26;1737;26;241379,463;7718763,328
9532;50,855333;218115,591034;7686884,705760;1037;1739_1;1739;1;218138,320;7686930,289
9587;22,645707;218173,826208;7687292,351970;1038;1739_2;1739;2;218182,124;7687270,728
9359;0,000000;220838,147151;7689028,434840;1039;1740_17;1740;17;220838,836;7689028,154
9572;387,209125;220037,351741;7687845,586110;1040;1740_4;1740;4;220009,636;7688231,692
9730;54,231381;219775,293460;7685603,531950;1041;1741_11;1741;11;219823,379;7685629,670
9730;34,320629;219484,117587;7685545,296780;1042;1741_12;1741;12;219473,356;7685577,391
9650;270,119848;218989,118625;7686127,648510;1043;1741_2;1741;2;218721,317;7686096,355
9730;392,843023;219192,941731;7685487,061610;1044;1741_7;1741;7;218810,348;7685399,615
9629;171,824438;219425,882424;7686215,001270;1045;1741_9;1741;9;219528,390;7686076,191
9693;21,657361;217970,003088;7686067,462810;1046;1742_2;1742;2;217992,362;7686067,182
8167;229,525526;228335,863928;7704529,963060;1047;1745_36;1745;36;228199,540;7704713,974
8167;233,214423;227753,512196;7705723,784090;1048;1745_7;1745;7;227552,303;7705840,475
9969;65,486695;238701,724696;7684176,770190;1049;1746_6;1746;6;238753,569;7684217,421
8055;195,591601;229238,509084;7704670,918210;1050;1748_38;1748;38;229043,507;7704670,637
5577;623,986180;232295,855731;7724184,333830;1051;1754_6;1754;6;231933,094;7723676,468
9606;346,600638;215669,713765;7686477,059560;1052;1759_1;1759;1;215628,345;7686132,530
9606;160,009041;215757,066522;7686535,294730;1053;1759_4;1759;4;215916,585;7686555,181
9733;167,707868;216455,888582;7685414,158750;1054;1759_7;1759;7;216288,770;7685413,878
6504;266,659942;245361,377551;7717749,347230;1055;1762_5;1762;5;245362,066;7717482,299
8074;53,441227;229558,802545;7704661,483070;1056;1763_10;1763;10;229506,023;7704661,202
6860;341,092996;227433,218760;7714750,235860;1057;1764_12;1764;12;227530,882;7714422,753
6618;204,226619;226647,043932;7716502,383200;1058;1764_2;1764;2;226852,066;7716502,102
6860;203,213394;227491,453938;7715769,351390;1059;1764_5;1764;5;227490,050;7715972,378
9071;744,205506;246621,708257;7692242,341600;1060;1767_15;1767;15;246442,741;7692964,558
8541;43,027427;244408,771687;7702602,743020;1061;1776_10;1776;10;244366,415;7702602,462
8327;172,397874;243198,368595;7701676,439580;1062;1776_2;1776;2;243199,057;7701848,628
8251;227,836990;243855,537543;7702142,320960;1063;1776_36;1776;36;243673,268;7702006,103
8541;439,174646;244583,477216;7703015,848540;1064;1776_8;1776;8;244271,157;7703323,881
9331;15,641605;237206,932524;7689854,699540;1065;1781_10;1781;10;237207,621;7689838,770
9259;5,246055;236634,376059;7689797,438830;1066;1781_15;1781;15;236640,313;7689797,158
9387;209,782539;238410,548832;7688340,585050;1067;1781_3;1781;3;238384,545;7688548,476
9583;357,341881;237711,726761;7688224,114700;1068;1781_5;1781;5;237870,200;7688544,633
9583;227,815473;237012,904682;7689097,642290;1069;1781_9;1781;9;237208,500;7689215,507
9245;35,636784;237711,726761;7689883,817110;1070;1783_6;1783;6;237683,384;7689904,232
9245;511,967748;237857,314689;7689738,229180;1071;1783_8;1783;8;237870,415;7689225,901
9331;577,214372;238876,430225;7689679,994010;1072;1783_9;1783;9;238532,641;7689216,240
6093;337,590204;233955,558150;7721214,340010;1073;1786_2;1786;2;234092,221;7721523,229
7340;31,636224;231107,055414;7711430,831010;1074;1788_116;1788;116;231107,744;7711398,898
8391;165,570484;232354,090879;7711081,419980;1075;1788_16;1788;16;232227,279;7710975,385
8391;233,338675;232470,561225;7711780,242040;1076;1788_18;1788;18;232251,006;7711857,372
8391;23,934748;232645,266743;7710964,949630;1077;1788_21;1788;21;232641,971;7710988,281
8391;24,510674;233285,853644;7711751,124460;1078;1788_24;1788;24;233277,372;7711728,100
8391;36,503052;231608,596421;7708111,426170;1079;1788_31;1788;31;231609,285;7708147,666
8391;1,964382;231072,917063;7708137,337120;1080;1788_33;1788;33;231075,571;7708137,056
7347;36,340326;231771,739146;7713061,415840;1081;1788_36;1788;36;231789,707;7713029,145
8391;114,356108;233635,264684;7712449,946530;1082;1788_42;1788;42;233530,651;7712404,930
8391;36,699198;233402,323989;7713061,415840;1083;1788_46;1788;46;233381,846;7713031,133
8391;41,532978;232732,619500;7714366,190220;1084;1788_58;1788;58;232691,755;7714365,909
8391;40,889572;231655,268798;7710266,127560;1085;1788_62;1788;62;231615,223;7710269,629
8391;98,149831;231684,386366;7709556,547210;1086;1788_65;1788;65;231586,877;7709556,266
6642;479,644534;233314,971245;7716526,408610;1087;1789_20;1789;20;232848,467;7716635,722
6740;330,073123;232616,149166;7715681,998610;1088;1789_21;1789;21;232870,101;7715893,640
6848;16,331730;232963,279471;7715245,234820;1089;1789_24;1789;24;232963,968;7715228,614
